GEOID,state_alpha,nccpi3corn,nccpi3all,aws0_100,aws0_150,soc0_30,soc0_100,rootznemc,rootznaws,droughty,pctearthmc,pwsl1pomu
08081,CO,0.010381073291966735,0.08473621979773041,84.61513773569168,113.73654512530065,1888.5439663971522,3619.88367699157,105.80195084849868,129.1144908529996,0.6523367267821013,77.51530094870367,205.64010865894724
08083,CO,0.0448171281299563,0.125135745516456,90.74236951884289,121.93122800955331,2738.246242029051,4620.352659123622,104.87105436907935,137.64418689683956,0.5911989066392049,76.4205561149384,41.49610355928436
08085,CO,0.030408844495067765,0.10884028605440652,90.00947653381247,116.86453375724885,2919.947278572759,5039.528551216477,99.88258703122342,136.05988441737856,0.5743192873649535,73.0088217604653,41.14411117997535
08087,CO,0.06441424947525426,0.2073052984419863,95.36014302530587,137.36757050030576,2479.2320379503026,4873.825088023624,144.10173819796398,145.0778535783885,0.5734392869793827,81.17270539228798,215.96914054072644
08089,CO,0.006484944559267339,0.1603474860910938,135.03910722768416,183.72106655578426,2217.282037691183,4790.323170970815,115.11743384086586,177.970802978118,0.31014485484178106,84.45274285963812,373.88035137069113
08091,CO,0.03147609012013415,0.0895375097026703,93.37285050017002,124.703913966747,4247.748092858475,7136.0143826401945,109.29602169271277,134.3311613101536,0.5995109177941599,75.45479856910391,34.56776180307628
08093,CO,0.002236771722965534,0.03600493179622299,51.50039183046423,64.97386981473339,3776.7666217393,5026.101778375235,96.09620878898438,71.01096571554852,0.8929579681590748,81.70426257099632,61.52342113755853
08095,CO,0.15577173457490653,0.3914283450028788,142.25060569370163,209.34131085550837,3825.322382336441,9400.141244252492,149.39493897986858,231.0596997623471,0.12880697115181314,85.80099273888604,11.165998384105842
08097,CO,0.008582753609705921,0.05250135111524335,77.32869299432316,102.18724565600762,4692.619296170623,6963.923457508678,115.97528086394229,110.84660844771413,0.7800960950983513,69.35354908939514,55.948331611646836
08099,CO,0.1251281714246485,0.32985606854393573,161.9035611434983,237.16959308833532,2024.5708144285484,4173.293748403314,143.27651655709462,237.72713833451778,0.1676516861623324,87.82754537498212,30.86551866609677
08101,CO,0.022375226464815982,0.15412619145625253,119.54109323075322,161.88146337782558,2155.34729542337,4352.166875031488,115.2749493026253,164.1631099697648,0.3824249803712867,82.6196473598282,197.07491420889372
08103,CO,0.017275537024306453,0.06831918876975522,73.65102485922938,94.16407612252281,2641.612653686796,4677.0532441656305,82.86165887939332,105.5875856378058,0.6984438064977185,77.49944959784995,73.73636638255454
08105,CO,0.002099902509981494,0.048076624463422625,85.67812211496555,112.4278770123417,6007.80882232755,8334.892880272355,118.46860214496965,116.02753331671471,0.7260202850374807,86.3068839800161,110.41935465902075
08107,CO,0.009808511613378921,0.05211782639169803,124.69845545620464,168.67468814728406,6044.378430696294,11154.033074736277,131.30040859685695,176.7012097787831,0.40070990116387195,81.75820022401821,29.919352511062833
08109,CO,0.0020293677837263536,0.03687502145038983,75.45430880721548,100.46663181015356,4494.866222963045,5997.760548287177,113.80208016802682,101.84520440467534,0.821563761660395,81.11491874275728,46.42684274930569
