MapDate,StateAbbreviation,StatisticFormatID,ValidStart,ValidEnd,D0,D1,D2,D3,D4,None,Missing
20250930,IA,1,2025-09-30,2025-10-06,30.15,0.00,0.00,0.00,0.00,69.85
20250930,MO,1,2025-09-30,2025-10-06,93.44,63.57,22.18,0.00,0.00,6.56
20250930,NE,1,2025-09-30,2025-10-06,34.38,9.08,0.00,0.00,0.00,65.62
20250930,WI,1,2025-09-30,2025-10-06,35.56,0.00,0.00,0.00,0.00,64.44
20250923,CO,1,2025-09-23,2025-09-29,56.57,46.17,36.77,15.23,0.00,43.43
20250923,IA,1,2025-09-23,2025-09-29,15.24,0.00,0.00,0.00,0.00,84.76
20250923,MO,1,2025-09-23,2025-09-29,93.52,64.03,22.40,3.59,0.00,6.48
20250923,NE,1,2025-09-23,2025-09-29,34.54,9.18,0.00,0.00,0.00,65.46
20250923,WI,1,2025-09-23,2025-09-29,4.64,0.00,0.00,0.00,0.00,95.36
20250916,CO,1,2025-09-16,2025-09-22,58.04,46.59,37.24,15.36,0.00,41.96
20250916,IA,1,2025-09-16,2025-09-22,24.69,0.00,0.00,0.00,0.00,75.31
20250916,MO,1,2025-09-16,2025-09-22,97.78,61.88,31.46,3.56,0.00,2.22
20250916,NE,1,2025-09-16,2025-09-22,48.04,17.31,1.28,0.00,0.00,51.96
20250916,WI,1,2025-09-16,2025-09-22,5.00,0.00,0.00,0.00,0.00,95.00
20250909,CO,1,2025-09-09,2025-09-15,60.27,49.49,40.89,24.26,0.00,39.73
20250909,IA,1,2025-09-09,2025-09-15,7.77,0.00,0.00,0.00,0.00,92.23
20250909,MO,1,2025-09-09,2025-09-15,94.13,45.62,17.04,0.00,0.00,5.87
20250909,NE,1,2025-09-09,2025-09-15,47.41,17.71,1.28,0.00,0.00,52.59
20250909,WI,1,2025-09-09,2025-09-15,3.70,0.00,0.00,0.00,0.00,96.30
20250902,CO,1,2025-09-02,2025-09-08,60.27,50.71,40.42,25.02,0.00,39.73
20250902,IA,1,2025-09-02,2025-09-08,4.12,0.00,0.00,0.00,0.00,95.88
20250902,MO,1,2025-09-02,2025-09-08,93.68,30.66,0.00,0.00,0.00,6.32
20250902,NE,1,2025-09-02,2025-09-08,47.41,17.71,1.28,0.00,0.00,52.59
20250902,WI,1,2025-09-02,2025-09-08,3.70,0.00,0.00,0.00,0.00,96.30
20250826,CO,1,2025-08-26,2025-09-01,65.34,52.62,41.96,28.53,7.05,34.66
20250826,IA,1,2025-08-26,2025-09-01,0.00,0.00,0.00,0.00,0.00,100.00
20250826,MO,1,2025-08-26,2025-09-01,60.98,14.06,0.00,0.00,0.00,39.02
20250826,NE,1,2025-08-26,2025-09-01,51.50,23.36,2.53,0.00,0.00,48.50
20250826,WI,1,2025-08-26,2025-09-01,3.41,0.00,0.00,0.00,0.00,96.59
20250819,CO,1,2025-08-19,2025-08-25,69.60,54.15,42.29,28.92,7.05,30.40
20250819,IA,1,2025-08-19,2025-08-25,0.00,0.00,0.00,0.00,0.00,100.00
20250819,MO,1,2025-08-19,2025-08-25,49.70,9.69,0.00,0.00,0.00,50.30
20250819,NE,1,2025-08-19,2025-08-25,49.79,23.78,2.69,0.00,0.00,50.21
20250819,WI,1,2025-08-19,2025-08-25,4.26,0.00,0.00,0.00,0.00,95.74
20250812,CO,1,2025-08-12,2025-08-18,62.13,47.28,40.16,20.30,7.05,37.87
20250812,IA,1,2025-08-12,2025-08-18,0.00,0.00,0.00,0.00,0.00,100.00
20250812,MO,1,2025-08-12,2025-08-18,34.07,0.96,0.00,0.00,0.00,65.93
